date,quarter,year,apple,microsoft,ibm
2008-02-06,2008-1,2008,17.428572,28.52,103.589996
2008-02-07,2008-1,2008,17.32,28.120001,102.339996
2008-02-08,2008-1,2008,17.925714,28.559999,103.269997
2008-02-11,2008-1,2008,18.492857,28.209999,105.139999
2008-02-12,2008-1,2008,17.837143,28.34,106.529999
2008-02-13,2008-1,2008,18.485714,28.959999,108.419998
2008-02-14,2008-1,2008,18.20857,28.5,106.129997
2008-02-15,2008-1,2008,17.804285,28.42,106.160004
2008-02-19,2008-1,2008,17.454287,28.17,105
2008-02-20,2008-1,2008,17.688572,28.219999,107.849998
2008-02-21,2008-1,2008,17.362858,28.1,106.93
2008-02-22,2008-1,2008,17.065714,27.68,108.07
2008-02-25,2008-1,2008,17.105715,27.84,110.080002
2008-02-26,2008-1,2008,17.021429,28.379999,114.379997
2008-02-27,2008-1,2008,17.565714,28.26,116.459999
2008-02-28,2008-1,2008,18.558571,27.93,115.239998
2008-02-29,2008-1,2008,17.860001,27.200001,113.860001
2008-03-03,2008-1,2008,17.389999,26.99,114.230003
2008-03-04,2008-1,2008,17.802856,27.59,115.709999
2008-03-05,2008-1,2008,17.784286,28.120001,115.389999
2008-03-06,2008-1,2008,17.275715,27.57,112.519997
2008-03-07,2008-1,2008,17.464285,27.870001,113.940002
2008-03-10,2008-1,2008,17.098572,28.049999,114.010002
2008-03-11,2008-1,2008,18.192858,29.280001,116.489998
2008-03-12,2008-1,2008,18.004286,28.629999,117.07
2008-03-13,2008-1,2008,18.277143,28.620001,115.910004
2008-03-14,2008-1,2008,18.087143,27.959999,115.230003
2008-03-17,2008-1,2008,18.104286,28.299999,115.550003
2008-03-18,2008-1,2008,18.974285,29.42,118.410004
2008-03-19,2008-1,2008,18.524286,28.620001,116.940002
2008-03-20,2008-1,2008,19.038572,29.18,118.330002
2008-03-24,2008-1,2008,19.932858,29.17,119.059998
2008-03-25,2008-1,2008,20.139999,29.139999,117.970001
2008-03-26,2008-1,2008,20.722857,28.559999,116.910004
2008-03-27,2008-1,2008,20.035715,28.049999,115.519997
2008-03-28,2008-1,2008,20.43,27.91,114.57
2008-03-31,2008-1,2008,20.5,28.379999,115.139999
2008-04-01,2008-2,2008,21.361429,29.5,116.489998
2008-04-02,2008-2,2008,21.07,29.16,114.809998
2008-04-03,2008-2,2008,21.658571,29,116.019997
2008-04-04,2008-2,2008,21.868572,29.16,115.760002
2008-04-07,2008-2,2008,22.27,29.16,116.309998
2008-04-08,2008-2,2008,21.834286,28.75,116.269997
2008-04-09,2008-2,2008,21.634285,28.889999,116.769997
2008-04-10,2008-2,2008,22.078571,29.110001,118.779999
2008-04-11,2008-2,2008,21.02,28.280001,116
2008-04-14,2008-2,2008,21.111429,28.059999,117.279999
2008-04-15,2008-2,2008,21.197144,28.25,117.169998
2008-04-16,2008-2,2008,21.957144,28.950001,120.470001
2008-04-17,2008-2,2008,22.07,29.219999,123.080002
2008-04-18,2008-2,2008,23.005714,30,124.400002
2008-04-21,2008-2,2008,24.022858,30.42,124.349998
2008-04-22,2008-2,2008,22.885714,30.25,123.669998
2008-04-23,2008-2,2008,23.27,31.450001,123.599998
2008-04-24,2008-2,2008,24.134285,31.799999,124.190002
2008-04-25,2008-2,2008,24.247143,29.83,123.080002
2008-04-28,2008-2,2008,24.605715,28.99,121.690002
2008-04-29,2008-2,2008,25.007143,28.639999,122.849998
2008-04-30,2008-2,2008,24.85,28.52,120.699997
2008-05-01,2008-2,2008,25.714285,29.4,123.610001
